column_1,column_2
-80.736,-4.47841
-0.978,1985.21706
-6.77,-82.31862
-266.611,-27.94106
36.319,-15.91445
-33052.885,43.12573
-913072.803,804.94498
-85.723,34.50579
66507.385,8473.00191
6236.527,54394.57787
-0.834,57.89717
886153.887,-78.83404
955413.935,-4.56025
97.438,25313.33432
832181.893,-85.88256
486.298,0.89334
5.424,4183.05643
-2950.487,6.95941
-5.626,-0.81462
-5.179,-7.67724
5.808,81.44441
-0.215,132854.73245
-49.866,-4783.77523
-921914.721,-18.51185
-4.759,-9.35496
-0.225,1.77507
70.769,-0.07426
-1.032,2.25079
-84.121,6263.14064
928.804,-2.77551
-44.631,-910784.0457
741978.607,-0.69471
1114.712,6699.98546
-7910.501,-33.58395
-79839.927,0.01724
96.1,51898.92985
-97806.792,179.57088
90.731,-0.67572
-9014.076,150867.99119
-925.654,-0.01231
-9144.333,-4883.894
0.528,-15.2793
-26104.878,-0.49509
-22235.551,-0.2518
-1.482,-48534.57779
6.907,2.63982
-5125.833,-2516.30504
-684.715,-21811.89164
8.477,9439.11666
-81.469,-47.80328
3710.075,-693840.25818
-8.084,0.64756
38748.068,-65.46108
7589.274,-0.41123
-595.006,6445.51432
43860.26,-21.35873
77466.986,-33.38178
-5985.574,-78.30119
-6973.291,-48921.56268
-841.234,85982.79891
0.708,0.88023
0.207,4.03726
5528.478,-461134.72234
-209.522,42708.04865
-85.003,-36583.4323
-9.497,-854944.58628
704.176,172445.76885
82361.165,9.78625
-3090.456,-52609.49545
-315721.372,-7.9156
-68943.98,-3.31447
-4498.154,-637.72963
-12.595,0.4197
-187.791,-0.61802
636399.95,-9.54602
0.132,28.03159
529.13,-73.27766
7094.839,-34.01676
-91.854,-0.87634
-61.369,0.35946
-763.789,5.81849
-66871.418,-0.1241
-9.341,-6669.50551
96.133,8629.77078
7118.335,-0.0997
61698.123,-978.73213
24.98,0.39373
56.866,69578.3977
8057.477,-67.75357
103.728,-12908.82999
5367.917,5857.33321
-678.74,0.62183
-89.883,-2959.11355
-0.576,-354375.09753
-0.878,-7721.2626
-266.98,-45.89189
422960.075,0.81353
-7.383,594535.399
-10873.808,312703.5007
-213.775,386.36545
0.207,-386827.27334
-338298.44,84243.41236
-7714.5,-18.89526
7.152,-1.52064
-1658.471,9547.40987
-0.516,-8.13191
-44807.743,59.10708
535.818,-59954.51307
-13.324,448656.60626
0.582,0.32212
-767.575,93692.46642
833.359,356661.11306
-99.492,1858.67642
3850.825,-0.38213
8.81,-592494.73047
199.039,0.7837
45.248,35.89537
0.317,-4553.07385
-3.618,-4878.72188
-228.155,-80.42818
-1.639,-7.73142
729.766,-63432.39044
183774.182,54563.01494
236421.343,-5549.38102
954.253,-0.59897
-7.949,-9.8942
-9.882,455830.63566
-59.427,-36.56368
-216.213,-0.35932
937809.881,-9250.37893
0.623,147.00038
56697.671,8682.29229
8.309,5.89087
0.855,-83090.52603
-960.887,57.77324
859.051,17343.99886
-0.272,47.08405
-9700.383,-0.97848
81.65,0.03536
-343.286,-0.28284
-600316.066,3923.08112
864928.812,59422.49275
8.856,-205.09484
-7456.496,-3.25467
-75.444,735778.24003
236604.9,-77919.24555
562.679,64.88227
5.163,682.58094
0.633,10281.16286
-926625.416,-86349.40567
-4994.432,-53.06118
-35.233,9.43132
7329.625,-66203.88936
-0.931,1.8139
-540.558,-40208.34818
351.108,-401.16673
0.265,-4.29655
58943.528,30.12817
-3124.763,0.26594
690446.564,34.76564
-0.737,-4.31933
-0.164,-61.24448
-8.323,14669.59657
24.85,-97.29024
-0.367,41533.05219
-3.699,-99248.59119
84362.827,1946.14141
-401298.407,508618.55914
-587315.763,425.6195
36.662,61.90657
-29.226,176.27087
-511.871,-5.51888
79776.637,38.6634
-65.051,-62.17837
-0.317,412.52878
-802663.368,-3293.6865
-0.022,-0.03173
-54.283,-0.17142
7.35,3482.8796
-598187.281,-67243.28826
842996.785,9242.03379
8169.959,-55086.28258
-40889.093,-11345.09782
4.905,9.89616
19.449,252987.28741
-3.363,407.7641
-14.374,3575.01502
-48.471,-0.60874
2991.237,96222.91392
3259.806,861659.03279
-809655.882,-113899.02398
-13.778,8.18527
-0.387,-0.95958
61796.068,-7.32531
68032.029,8.68805
2.882,-297922.39059
-527.936,-574.5018
-0.691,0.67731
-9291.574,127555.18001
-536.297,-37.65861
53468.727,-0.96357
0.063,834.85318
581352.725,871983.90779
-942104.48,3639.53923
-7557.272,-2.6164
0.304,8743.6921
-57.093,-385.56738
95124.569,-3.30554
0.819,-0.91297
53611.425,0.19348
-751.286,-12948.37976
3.207,834.57252
-595.132,-388947.42389
-207.266,-4.4345
-6.098,27.09176
-0.124,1962.99936
4.453,0.3678
790872.611,-226.55841
-6519.901,638.24497
0.12,38387.58353
27.763,-62.54094
27756.079,86413.46915
-2223.465,98919.77371
-21194.299,-460449.16588
-5.497,76.47202
-2.072,-4855.5277
0.371,-8913.5475
-2.534,-2936.69117
-6209.304,-7191.41911
3.162,0.22316
-28508.42,-2845.24251
30206.61,-68543.42532
-0.212,-652.68657
-464.115,98.03768
10.179,-255330.32105
-4637.913,-54.53229
7164.529,-0.90067
-382258.836,54.81104
715.755,-0.73135
538135.509,-0.42312
-14047.823,-3.16663
-9.015,-576564.27591
-7153.086,-265.72463
-89.636,-0.88581
-8950.806,-4.12091
927297.109,-392.66021
0.12,-27376.25707
7.272,-318430.8192
113256.862,-4.11823
-3694.694,-7111.41271
36.505,-27429.20894
-2431.972,357610.33879
9725.62,46.62967
-0.04,69158.70295
