column_1,column_2,column_3,column_4,column_5
-0.9,-0.715782,-0.0,754868.9,36267.608355
224.86,-43642.70007,952619.0,88577.7,-426764.364659
61.87,9216.107913,-0.0,242227.1,-483902.59903
-4371.49,527.650365,61.0,-921366.6,5.103444
-1430.85,-60.194472,-6.0,59740.0,891959.686477
86231.53,-2.897498,8632.0,4470.2,-2.29564
-0.12,6.751559,-2928.0,-151.2,-558.991591
-984.62,963.571426,10353.0,-3454.6,-22975.742587
876.88,-74269.221462,9.0,-2.0,-1006.672498
76488.53,-97094.195606,0.0,-2477.7,-60111.232915
7.73,59.745538,-4459.0,697881.7,-570.687609
-0.17,512.386337,82.0,2375.8,-75.07092
179133.59,-8069.225102,1.0,-614764.2,-7818.713666
-51.86,785219.08583,46827.0,-7309.5,-3201.415888
21985.14,-335.303768,-31028.0,-0.7,-7.45083
-222095.66,-0.937253,-156542.0,-86810.5,-0.662865
7.77,-799299.858909,-6.0,-3.0,665965.699808
0.74,86771.369474,-458.0,-55995.0,-438.03968
-6.95,5.51714,14439.0,0.3,-364.034664
-902.55,-3662.932524,713271.0,-0.0,0.734278
-8703.68,1.087555,343126.0,-1.0,1.223681
-735.12,-0.605797,17.0,949922.7,-58622.305632
-31.8,-47.681878,-1.0,3262.2,-54.233022
-8.94,240497.512506,-6938.0,-65.8,5275.306289
2.73,-1705.335976,-28.0,528.4,6469.341832
-36.18,386.077761,-1389.0,-111.5,-712.540669
8898.64,285734.580812,-7.0,-541448.9,87.137345
-0.72,0.193753,-879334.0,0.5,1.506938
75615.84,66.959881,-9.0,0.0,664.584199
-0.79,-4.480904,-1.0,-4.5,47.401559
-0.99,39.380712,-38.0,4.9,240.377262
712904.15,-1.208785,50840.0,-7735.8,-834159.922651
-2481.07,657.834219,-3.0,5269.1,8.434601
14202.44,-7124.872624,-6.0,19.7,8943.417932
884.24,-9.647841,56.0,22251.2,-711008.403796
-1109.47,-3.375364,5.0,-7.6,-297.456554
6.62,-9.806996,-850.0,0.2,329464.697118
-8.72,-0.785734,-0.0,-0.9,844.816414
1931.85,-152303.524879,9.0,0.4,6.317047
141.99,47543.017227,6106.0,0.2,4261.443675
-869.1,-0.164496,194.0,-45975.1,0.551363
-11221.39,-4.532909,-0.0,-1509.0,933.743398
-50.1,181.853253,1.0,5.5,-5759.752245
-0.56,35586.101979,548735.0,-484.6,-77295.685603
-3421.93,-32278.963302,-207538.0,53.6,99.564561
264304.09,3570.805016,1.0,-2.3,53.182462
-90.12,-0.084016,-9426.0,-79117.0,3163.384362
31138.11,-833830.05579,-7.0,-0.4,-581.999995
94266.91,-34380.450414,-1.0,-0.3,-93.508976
752.21,-74.073035,10.0,32.0,-483.093596
374.22,-492.698289,-1470.0,-675.5,-97.659624
3608.07,569381.347895,-73948.0,-3.5,71.186435
0.59,51.429502,85.0,3767.9,2387.464927
399007.4,-9798.408904,51.0,-5676.7,-20060.972648
4284.07,-664.47469,83735.0,-0.0,590.667953
-79.29,-6.221059,5.0,-568436.1,-57.633284
15.64,-6484.742996,379.0,40.8,-239.089457
0.79,7730.658544,-130.0,15228.8,83315.132333
-64255.33,-28399.829157,-63.0,3.1,67785.116977
926.69,8.85257,74.0,674638.5,-63082.931659
