column_1,column_2,column_3
-2.502,-558.988,-316.04539
1143.545,-4775.891,-923863.37273
0.161,310.399,4194.23259
-507193.751,-44.294,-0.50499
-0.619,3.247,478494.01897
0.235,-7.581,-549730.13713
817.871,15735.051,700555.02606
-0.251,1.618,59.83995
3058.839,0.439,-873.83412
7.345,-9566.96,68.31702
0.561,-60.401,-0.29216
9908.513,-54.081,-24.82516
665893.876,0.743,-301.97191
-7.606,625134.934,-462.46799
653531.087,-14982.147,38521.08713
688259.657,700.357,63454.89459
821278.215,796.211,-0.40814
-961.532,-5.962,68081.8727
9.686,7.958,330.04158
509.487,8813.571,106.98759
-302947.141,271.058,-37.69449
0.63,-23123.834,-351186.09917
-374775.716,-854126.687,256.89433
-59.613,9.524,-5855.97802
541.264,68.404,0.51663
-8531.216,-74198.369,45469.54075
-74.211,228132.593,-54.81181
-489.28,81071.637,-62556.88652
-0.978,648004.305,0.11226
-0.994,706097.47,276351.59365
63.786,-8.123,-0.25239
-7.677,98949.871,0.17409
0.932,0.832,-49007.34231
2.126,1.842,-7219.29932
870.464,92.776,-425734.44874
-979.832,-521989.245,4972.53457
-8887.023,-958.188,44.92743
384.437,-10338.141,832219.47788
0.232,685074.309,6943.92739
-24.604,0.38,-85.55759
-9.452,628.672,-525178.55539
-38.655,258.079,244991.51254
6312.726,48.759,-441.42769
-702.188,-614.654,-30.98768
0.508,-8.678,46.16159
1967.513,-2.487,3288.00666
-1.676,88552.34,-995829.46556
9603.76,850609.429,-607.58598
661.375,-7.172,-7259.61947
-281.287,7042.357,-0.26368
321237.845,-74261.669,31.84053
-51371.866,-0.535,1371.52809
-478170.004,-0.525,-807508.88657
11200.555,-10.137,-0.06675
-0.406,70536.113,-91.03449
0.736,-63.198,535.27838
-0.066,-9948.78,48566.78953
-51.211,-294630.06,-0.18397
-85153.955,-2.716,744.38989
0.113,0.562,571151.66792
-65142.481,3.439,-0.1273
-34.168,-64.23,-1.08412
-7.121,6.067,0.85065
-52.703,0.798,-218.56609
9528.823,-78.476,-6457.58282
0.147,4762.353,32093.62578
-28601.86,-214103.853,-66408.8413
-0.596,-82935.478,740624.94949
-993.598,-106384.134,-444.0017
-914.294,-0.356,-0.8216
0.632,-3670.256,-23396.91841
796.411,-0.458,36.90554
46.602,-5028.215,-63.17514
-1.769,0.301,367.68826
-23.695,7.046,-765167.53286
-50.682,-301.038,0.75511
473421.558,-0.532,-2.47368
-1.443,-88.042,-66959.95731
-860780.467,6.323,-232836.98549
-83594.169,76809.419,4583.7481
-5430.643,-0.806,-1721.96279
-829006.153,-0.342,-296059.53986
-4.927,-8.921,1.28417
-69257.127,600.554,61165.47549
-0.83,148320.015,-0.94946
-703.626,965147.304,-424.63983
-391860.995,-7.886,0.99674
58.213,194089.265,19.69181
-647850.3,5.547,-426.17478
46937.529,80.06,-0.76869
538413.198,-15.78,509074.60292
-7523.433,5.532,-58.14494
2249.81,-5.592,687.80424
-799.392,47101.35,70.81714
-569.123,-3056.665,0.67353
574401.776,10111.593,-0.95606
-2.655,-806.465,3469.15444
-2.817,-5757.622,-847.59831
-34.426,922.349,1016.39691
4949.661,487.591,-3.33157
-0.012,-72.854,-0.51565
7.058,0.132,-5.08591
-82.014,6.09,0.48203
14.635,-95799.179,-9064.33148
-171.419,-30770.194,-973948.50879
722469.862,-98008.973,66.29108
-677.241,5.025,-82791.60882
-783.353,-4244.303,-50643.86421
-0.893,82.476,2.83635
4906.806,-932090.187,-7.45961
-78.899,-190172.131,130.95251
8474.631,12.586,-97994.04197
8.0,417.181,-315.59167
-339.558,0.491,-0.91315
-3230.23,357.84,-71.64122
11488.668,69.043,456731.90527
-466722.928,-6.705,0.62595
0.943,-3256.233,5.57979
-6714.698,653163.086,-38662.12532
694389.956,1069.714,-897259.01057
22.705,-453.641,-687218.96531
-9184.807,53883.876,-4.54656
97.587,-82740.374,120.24585
-74598.503,-491251.377,-6008.82547
-23.102,-374.858,-979339.4219
-0.673,5915.619,-22279.66614
92.012,17.606,-17164.64384
0.348,8.856,-4024.07647
-74.166,661.466,-95.42941
7.802,-42336.116,19530.871
-1.462,19244.15,0.89814
316.894,-3.132,26229.55443
-687.754,-493.221,-9.81604
-566.121,-4.815,8608.56606
-777.892,-9.538,-0.41952
-4.481,-691037.627,-0.43501
-5.117,-58435.486,753082.12119
-98334.131,0.157,5413.19312
56369.78,32.288,0.21991
314.197,5884.242,34.92566
