column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
57011.66462,-163634.06967,-73593.0,-400945.893225,-637.3,89829.0,-745.9,1486.3702,-38.773,0.6
11984.49719,-0.91582,-534015.0,0.839045,-0.0,-4833.0,33445.3,144.526,-3.366,-8473.3
820316.20356,2.42138,95434.0,46.187164,-388.7,919576.0,728024.3,555.5475,0.527,-8.7
-71451.32208,-0.04897,-924599.0,9.46586,93617.7,-16496.0,-27.3,75793.4304,-6.182,59020.4
-770.56815,680959.89883,46981.0,894.136087,11068.3,-514.0,-620.3,4409.2135,-8330.092,0.2
0.40782,3614.73218,7373.0,-46.963563,-0.8,-1.0,-108205.6,-0.3164,84.64,3.3
-9.48055,948.78325,-6065.0,1223.537277,-7.5,-80146.0,1.8,-87.2274,-827101.359,-38282.7
861267.69547,-5692.5475,-9919.0,56794.067592,846025.3,-2421.0,472687.8,339199.2188,-228023.319,370666.0
0.53826,-7778.93566,7.0,3926.52482,7899.9,-490509.0,-944884.6,61233.964,92.616,307422.6
0.38206,0.25073,5700.0,852.377303,7036.6,0.0,-6.4,99.6351,-498.469,-0.0
-601.39858,21087.77212,-16.0,-3.221726,-95.5,-276.0,-0.8,59.0376,816.839,546.8
-45.59708,0.18423,-6915.0,-0.134966,-50.6,4.0,7118.8,2.6429,-7.964,-17170.9
-7.2797,-316.86513,-1.0,-0.670641,1761.3,40206.0,-681326.3,-729020.3606,3.471,-0.7
86750.40688,-749113.29264,0.0,2701.197407,-79.3,-6.0,-8914.0,-279.569,31112.546,-7330.2
0.50259,1.65461,12151.0,-254160.798311,-8098.6,68.0,-2.8,-9308.5085,-732356.409,958.5
-723.30888,1.89942,-81.0,-401348.16411,-6031.2,-442315.0,-0.0,18.5812,-44930.522,-906.9
-0.41434,-752.3517,0.0,93.553371,-0.4,-2.0,-8.7,549.5638,79900.614,5009.8
155.60364,8.14115,2542.0,240222.713526,4.4,62848.0,8.6,-37.7693,-0.798,-244823.1
-0.52164,8.57775,-1.0,-211123.34733,5054.9,0.0,-86960.0,0.6167,-464.016,-1.4
-194088.39232,-2373.86874,8674.0,-506951.65392,-73679.7,629079.0,5593.8,7388.8202,-6.054,2.2
-7497.83713,-787631.63233,-55.0,419494.605227,-721.0,0.0,7.3,-526675.8255,593.864,0.5
-884346.89724,1.30738,977350.0,-462961.39757,-3.9,94.0,950129.7,-80907.7284,86.293,-43463.8
-742445.92135,946.24508,-1888.0,652364.387203,-5336.0,-35.0,9247.8,0.767,-3643.551,346.4
184768.50701,4.69396,-80.0,0.673746,0.5,-492.0,40.2,26150.7635,-836494.314,0.6
4.71745,267.06609,-1.0,2593.750358,812180.3,-876.0,-4542.9,0.5581,-0.134,19.9
5.31933,74633.82812,-38.0,99415.690314,-856.3,-2927.0,-43692.3,3370.6846,12438.302,0.6
1823.28083,-1103.67863,7844.0,-5532.332865,-7.6,-65.0,-8462.4,1134.1008,0.63,-47310.2
1695.34772,4.73287,66288.0,837.187785,182423.9,-657886.0,-6.1,485.1332,-742.26,-37.8
-8240.0311,84131.51229,-88.0,642.068707,-202459.9,51.0,-36.2,-5903.3154,90327.262,94821.2
-299.83932,1121.05282,398665.0,-8.772811,171846.9,-3.0,74.4,3.4024,0.108,-953.1
-330012.17526,-3353.90903,-361.0,93743.450871,0.6,59.0,-4.1,736218.5823,-946.629,-6251.3
-97.00123,-66448.22808,1.0,332146.642296,230.8,-4.0,12.3,-36.3985,-7.678,0.5
653.99836,-232.43967,21842.0,0.852352,776.4,-4.0,-74811.6,28852.0648,-0.645,-35.7
-0.12956,90565.55159,450173.0,-593604.008876,60.9,-2827.0,-810.5,-7294.1313,-25.834,12.3
98.25068,-75.15628,0.0,-91188.878803,0.9,349.0,-4.7,629315.571,94362.959,69.9
-18137.79976,420596.35745,8.0,83699.280653,52480.1,47898.0,-97459.4,-4766.0966,3.993,-940.4
9.51259,-41.8262,-75.0,-824935.655009,94.1,17.0,-27983.3,-85.1973,60.062,8.2
0.75814,60.53125,5.0,948977.658902,-44.0,-3.0,95358.3,3.1269,-4.392,-74112.3
-0.17371,0.9104,7.0,0.899739,-0.5,682810.0,83.2,-5.4814,-586.097,572736.0
3.90627,49493.19038,0.0,77.079296,-7.0,-58.0,1.2,39648.258,-4.662,99083.2
-0.90016,-8.58504,1.0,-0.090973,-99451.6,-261.0,84597.0,57408.6465,-20.998,42688.2
-187.91782,625646.23934,96410.0,7631.095447,-439604.8,-575920.0,-55.3,-95.2908,5841.105,898149.4
-797101.64562,19565.13581,-732.0,-33.195824,-67.0,-9565.0,-333.4,0.7695,-652293.322,-865774.2
0.40659,3115.24516,83557.0,0.39285,-97009.7,-94.0,189.5,748.6734,86.573,275.2
259.30195,466032.58627,678177.0,-82.391999,320325.1,-1.0,-62265.7,-56.6842,-14.676,54572.8
134.09157,-48468.44596,-922016.0,-79419.321044,0.3,-99188.0,0.9,-76.1371,402780.938,22344.1
309094.67931,3.39128,68129.0,-95.476593,64881.9,-1.0,-7092.8,-38214.3031,-0.619,0.8
-558.33657,75.93917,-1.0,0.439914,59092.0,144431.0,8.5,0.3647,471.33,-45212.3
-0.76488,-41.88896,8015.0,-941.05239,-81691.5,-318.0,209.0,50375.9556,2.407,4413.3
-424.11156,1321.58623,49.0,-4353.615566,-425150.9,-1.0,-0.8,-151262.7346,-26.595,-683.9
-8304.16363,-439.87091,-65356.0,-5.41126,6551.6,0.0,79475.9,-0.7799,-491056.893,29.3
-313316.00537,-1634.87305,-22.0,8.276336,0.2,-90243.0,0.5,-22.3019,-70.765,923.6
451114.05736,-80787.27685,-724139.0,-6.719196,-534.2,-62.0,-260.6,-33.4134,8.813,39.6
-1518.40356,81897.07829,-3.0,-98.47959,-8114.9,35525.0,-51071.4,0.2509,-1455.177,51.4
-19.62372,-31.08011,914.0,328390.907206,-45910.2,-47.0,80826.4,-33223.9647,-826.277,-261784.9
-1437.4774,-1.1084,3035.0,519.339384,39.5,-74367.0,-343459.4,-1.6279,-84.405,-3244.7
25.12627,-5296.97977,6710.0,0.09893,785.5,453.0,-452524.2,807652.9455,26.952,228.1
-67140.27985,5.19175,26.0,-46.55026,-530652.8,-1.0,-703092.0,21006.9849,-0.106,991223.7
-5153.40744,-97781.03896,45709.0,88213.041497,-12488.9,-7.0,-47.3,-0.7977,2381.535,0.5
75858.50343,8822.83316,47979.0,-15601.157988,67.8,893748.0,0.6,4318.1781,8914.313,-6.2
-9.29532,-6.45328,-88307.0,-540.85661,300.8,61.0,563831.7,-9.9526,-5.976,-77.7
853.54459,-493.43644,22030.0,-7513.188213,-70863.1,-1.0,71.1,803142.0843,8303.355,89279.8
-34063.91079,33.72583,-0.0,-23.569635,78.2,0.0,-423.7,-2.3255,-8.234,736.2
-78685.03936,83249.14259,0.0,-3153.803558,3091.7,86.0,-0.1,-5314.3757,48258.105,-434.7
3.74325,-34000.24766,373110.0,-0.198181,901.9,-8956.0,-3.7,3814.6931,7849.833,-266.9
2727.76749,-75.70227,-35.0,-636740.356424,-2747.7,6.0,-97269.3,-944.4514,-36813.985,-29995.6
326.04788,-959.64032,13.0,9625.285124,868.9,666.0,544.3,95.4643,790762.989,-9446.5
48013.37028,-8959.66211,-63.0,4.532536,-9275.5,-10.0,765.5,794.516,-0.245,0.8
-8.27553,-742911.18202,1.0,-8.063637,7974.9,0.0,-7.3,-9.3355,-1753.496,-5.9
-374239.51104,-0.39284,18.0,-265.737293,22565.2,5.0,7506.6,14.9708,-20628.976,-72.8
-5.98085,-97568.33808,-634979.0,-981458.688292,175.2,0.0,-658.5,-337.038,-0.28,-0.7
-25.1273,-9129.16594,52.0,9.510858,-58.1,87967.0,-7522.7,0.7287,349.245,-0.3
1.91802,4033.18865,-6.0,88.591564,0.9,-730.0,-949.8,-0.9277,61416.561,26.5
6424.61197,-641.04305,-1.0,-95.437358,449843.8,-8.0,-7188.5,0.9037,-247877.536,0.7
-8024.8617,3.57545,950730.0,-353.573475,-0.8,-630.0,474.6,-195.7788,1390.743,-80.9
-3.77251,297.25439,-0.0,944501.280921,0.9,-568396.0,148473.6,-0.3499,5.106,-0.3
-4.61492,-16203.54601,-127.0,-95.733507,9085.3,-0.0,-678.4,-595.6304,671414.621,-8.9
-0.35413,-75.03967,-0.0,-271.095974,-73820.0,1717.0,-0.4,35.5105,-8461.368,5109.2
-0.82151,-53.99827,-0.0,-759352.730261,91050.3,0.0,-719860.3,0.9162,15.554,-78945.7
63.28119,99350.29499,5.0,-23.429569,-228.6,-407.0,-613100.4,490075.7715,-0.967,-41.6
-50804.05895,-2.55659,50.0,-0.296151,9.4,-7688.0,153882.7,3.1957,0.356,0.7
-28126.00002,-7.82657,-2.0,76981.421465,-996.6,911.0,0.4,-15730.6752,126.993,1937.8
48672.4919,-0.3425,-45012.0,0.647095,-499.4,369.0,-40.8,668294.6144,-146423.614,-7641.4
0.69077,899.99416,1.0,-60961.726231,-691.1,-836369.0,2741.9,9125.4687,85.844,360546.7
5801.74145,-26.14648,-2823.0,0.808225,-266.9,-6.0,-74591.8,0.257,-4258.226,0.4
7.1014,0.64199,1.0,631.05362,94626.5,54312.0,-31.2,890146.7794,7107.73,-103992.1
648.56638,-604391.83981,-1.0,-294.986423,319.0,2.0,1.0,14.609,-60.832,-606.9
-650.65559,80.86993,-58268.0,-911665.425464,-73204.3,-0.0,25287.1,-23826.2834,0.851,654.6
0.91117,-8.82835,3658.0,28327.888044,-1.3,1.0,8.8,-116345.7847,-98.465,20.5
-676699.23306,-9.63166,16.0,5190.859122,985.8,358495.0,229580.9,-27523.7337,-8.052,846.7
-11856.50674,-50898.51164,45.0,-135207.956113,-105437.4,5.0,0.8,0.6978,-4897.01,-25892.3
4337.65449,-0.98221,-31751.0,65.975493,-3520.6,-47326.0,-0.5,7253.7767,930.581,0.4
8447.69531,-786915.13247,703731.0,0.964738,903.1,69.0,6.1,9676.4023,398.455,-354550.6
-96341.78529,686.69673,-38953.0,-7884.573865,285.3,-70.0,-3.4,54.5955,0.325,0.0
9.80814,-755460.88299,-451810.0,99400.623599,-30.7,4013.0,-69.4,-949.4247,-72.861,-2.4
-6163.86728,-441.47472,82231.0,-901.802929,722.6,6.0,135.0,968.2267,19631.96,-9954.2
-2776.32991,-8.40761,-283.0,61708.715391,-175742.9,-7.0,-2737.3,71.3753,-0.412,4196.0
22783.66401,-61133.59327,-67.0,-14.787653,-1718.2,4501.0,554265.4,-1.3718,-7223.992,-424.8
727312.26775,25665.36102,-1573.0,4.886216,54957.3,-1.0,-6.0,1186.8137,8910.017,44.0
-0.88084,8.62208,1.0,11865.876806,-388.6,-37.0,-6074.3,-893.8563,868.661,331797.9
4147.45096,1968.10662,-32.0,-2374.514255,100.4,-399098.0,259793.4,-9684.5404,-659.092,-45.6
8212.99746,585.12479,-899.0,-1678.334604,-99.6,-109.0,71.8,-0.3488,6565.679,-0.8
4.1471,-353339.98578,-5.0,59.571097,1843.6,17.0,-495.6,-66968.8035,-4628.0,3.6
-0.54549,607829.64892,1.0,-109.804249,34.7,-5.0,0.9,-2197.4986,993.902,-0.1
0.00948,532.67393,-378734.0,456.488333,41184.2,-185.0,901.7,-0.9396,347.381,0.8
-9.65766,92372.7077,2969.0,-867118.39504,-139.6,27.0,1.3,0.2232,69571.099,647.7
542407.58067,82214.41921,-563.0,-0.493488,-508.1,71532.0,-0.1,986.8028,-3871.133,11908.2
-280.30233,-0.19362,-0.0,-37.003392,-0.4,-2871.0,80907.2,-570113.675,4960.373,6.7
567528.08143,0.25136,14297.0,4891.368877,-2339.9,441.0,-27.1,-928.7083,-7.945,495.9
1.91712,-94.7778,231.0,0.03527,6.4,0.0,-0.5,-14765.5204,-0.569,-937280.9
0.13236,2246.40338,-4809.0,94.886556,-719723.6,800595.0,-4934.5,65.2997,86826.727,5440.7
