column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
372.89,0.413067,32.46,952.6,937.97,31.87374,5.739384,482820.828
56.59,5.242755,99.61,5039.6,4.0,97876.177016,6.264883,9.516
857143.82,124.2747,70683.7,9.3,15900.95,79.223788,89.304819,449.905
0.86,89289.279419,6.55,0.9,89432.8,93.197726,0.673553,823.95
2364.36,20813.460559,1774.08,676379.7,33.41,0.426168,761.392177,833.613
7.85,59.856419,247.21,55.0,198.41,5853.777847,613.621131,736.342
886.86,252.84531,7124.5,870655.2,4413.24,0.019939,0.474011,3.515
7.42,0.519402,919862.14,0.6,39.62,0.763436,67.748613,27.607
1.11,793.763787,2323.42,67.5,0.41,4.595675,481.366767,624931.673
7.56,0.849976,499.15,711535.2,75603.34,55818.830727,72.469807,650.916
3.45,70.393402,615043.76,82487.5,7.11,91.857657,55602.243904,2027.346
22546.69,46594.744406,46448.19,2.8,630.27,6.537786,736414.335162,5686.133
2304.38,70.28196,9.91,8601.4,62.63,30470.848551,8.375354,8098.191
72234.94,96615.47137,36705.02,28.1,1591.07,0.863673,29998.168193,9987.957
683274.57,7672.032455,7.45,82.2,310.66,308.14744,9037.445605,6854.181
139.47,869.975455,8281.0,8.4,32914.51,881068.527019,83.276966,433498.82
31.86,38.946819,52.6,253.2,4681.1,323776.505846,9.682976,209907.471
2980.33,9049.950756,362.86,7.8,75559.42,4276.042231,8344.437445,89.643
73212.5,6354.74997,0.47,4.3,3.82,19.464038,3.273003,18082.906
14.2,558285.495773,0.94,10930.0,97.7,15.24821,152.305772,80769.177
662.53,0.032982,318.97,601.4,0.16,0.644716,3814.992149,76793.965
1.12,98.101685,0.65,7.0,8.41,0.298382,402.417331,5.868
0.56,9296.442245,751734.6,35187.0,651565.56,71106.083078,1884.372535,38977.955
691.93,872.030676,836.12,0.8,471.25,7805.716416,38.329359,54275.502
600.14,4.97503,46721.93,0.7,91204.68,47.978115,37595.742108,8.297
152.13,0.397746,28.81,134.7,196969.57,666613.490013,27.058983,505000.849
0.24,0.746005,627.84,23.3,586691.96,0.967343,90.4364,23.387
10701.47,0.257693,0.06,67.7,1.19,671.741924,0.560049,2889.977
15.89,3.630422,0.68,0.5,587.91,65.37838,900.829651,9.542
16704.05,91667.177591,78.76,21582.8,1.27,175113.291134,191010.962394,6744.199
3083.62,0.508386,555.35,90.2,960.86,697306.367099,4942.08782,6.822
37031.78,0.968775,58519.4,12.9,665395.75,6871.993846,7946.870335,797.912
16.95,963874.914946,74.68,4605.1,0.37,764484.998549,3.30518,0.797
2.34,205.295446,5441.08,434143.8,32.61,80912.48514,0.844311,3.754
38839.85,6035.839476,744445.86,9.1,548504.49,0.898165,218.948236,0.359
0.55,626.412851,472444.34,9762.5,114.08,99193.666792,8.070309,327.147
1.83,547.459356,6.08,43911.9,107005.22,45.966008,0.954836,92465.617
811.23,5513.615398,89448.06,4.3,42855.08,61579.498791,32.197839,5645.516
52976.15,7.068206,541.97,3.5,20842.98,43.347597,36.695185,834823.58
63.87,877676.341863,73.26,9748.3,753866.24,184.120111,7289.718862,39598.173
410.05,1782.225114,0.35,521217.1,766187.05,2834.977488,0.690956,624.462
58.74,517903.549149,85.65,34558.6,8.22,0.413082,677.038493,4325.798
80.15,1.865205,7369.78,4983.5,731035.77,73042.743361,4.494976,385.873
946.25,564.24677,85220.26,0.2,327.45,7778.611448,831.648172,23232.944
89149.57,7.240662,8.83,0.0,93.37,12.597417,74.883133,12879.983
927.54,0.399675,403.9,52763.4,0.36,26556.79718,606742.391242,0.277
99271.75,38.112227,938.53,0.3,2.85,53640.262743,67612.931094,0.26
3.8,0.669683,8287.74,89112.9,52321.61,8.782768,296.423354,86139.064
3967.8,250.339852,1084.4,68.9,0.94,2892.177372,85.837169,3413.625
0.04,57816.906349,1589.49,4.2,85.53,0.561855,617071.10262,9.181
0.86,787.04797,432301.95,477.2,0.42,550491.496077,6.201507,1.964
408044.3,418519.865939,8.42,0.8,55.72,921115.008781,0.39542,902556.797
2.39,624.148068,0.07,6.5,32.9,565239.378982,0.340831,348059.458
137514.89,0.498516,0.84,370.5,351.54,0.267834,24.370993,7852.161
18404.76,5953.620507,5.75,74.7,59376.86,0.667163,6.251053,0.636
5897.99,3.362216,75.22,573.2,29266.03,30.672581,284294.190325,64.829
17.61,76.584482,6.92,0.2,32.13,365.106867,23698.447007,0.655
999.62,0.282343,0.21,4001.3,28.31,89440.560563,0.353461,9.829
181.5,292.285959,6908.99,41589.5,775965.13,94505.579959,174.963381,7.167
0.47,0.447626,91.87,7.2,0.08,62.545084,35711.355984,13.22
41.78,0.551897,72.75,9.7,0.54,6572.839588,0.531459,50523.239
6634.75,0.98186,7.62,89700.3,9585.44,835.927483,59987.637668,560753.419
0.58,13591.713699,57.96,2.7,994.37,6137.162641,7199.195574,95821.403
6.19,0.580035,2.47,9.5,820.38,24.138851,69.167615,48.594
6029.69,71.861086,410822.89,519.7,0.1,33.059654,20.106731,6844.21
376.2,4981.216325,27.55,118194.0,4079.07,8.664537,9.098129,0.843
127.1,2.489349,18159.89,5.3,0.77,2961.264902,9760.547299,1.429
9325.32,3806.30383,98046.56,6070.2,775.5,4.992361,110754.527174,0.267
619.06,54878.583438,302.82,37.4,14618.07,894225.554156,4750.236791,58.856
3.64,403.177086,73.19,96296.1,553650.15,246.793458,482.148088,0.899
550963.34,897907.237983,249.11,2441.0,5368.53,942.231531,24915.390842,4945.51
40.96,587788.855339,59290.4,21.9,3.11,0.647342,71.755341,8.742
0.92,917.030446,218.7,1.5,295.02,6546.792993,84.688171,754565.617
0.82,612.231624,98854.17,68561.6,30367.07,8.266867,125443.063377,66.047
0.17,5.074744,0.63,78.1,465830.2,9.567493,0.968397,32866.63
4.87,0.599343,4.41,0.0,64.6,306.654244,0.075346,498698.758
0.92,72894.475362,4.76,0.4,23213.67,7.627704,4.474859,993.126
180.66,859581.618245,5.31,56378.4,5958.15,51894.522674,17.131617,9058.398
58.72,218890.827695,68.52,564.3,4.28,991.219511,27035.294069,1052.976
3.7,5.884918,2432.1,51588.1,241.61,67.762649,9.815264,636197.361
58.73,3.232761,517.34,0.1,86238.4,1606.837944,55543.265379,63.34
1.0,355119.006938,92792.28,413.8,359402.14,9.416355,103579.652213,955.245
2879.03,754.689949,6021.62,338.3,54.53,4.789495,1318.973407,0.368
625710.97,83.499365,67783.89,228332.4,863550.52,0.939552,97.194377,0.574
0.29,3.817374,0.55,172169.6,33.84,64.034082,3.405903,304.843
5984.59,19970.456019,8835.49,0.1,33.27,669.256962,28.963025,1.247
0.04,12.018697,508.33,14.5,37078.74,6.996651,0.835012,85387.92
0.73,4203.744704,750720.98,3062.3,810.36,2224.554836,0.901014,0.548
12832.39,860.600221,10.02,434.6,1743.39,2708.667424,16.22684,8.236
96.23,4.398162,4886.75,872470.8,12555.98,9827.608258,7.075248,4240.133
3.88,4.986454,0.24,77.6,87.78,5.953484,250.667189,0.068
712.46,148.577253,27.26,790623.0,155.02,237.199923,32746.469988,248.273
9054.79,42.502729,0.12,3.7,0.18,0.344144,0.545743,780413.001
9.24,505474.477048,8.52,58225.7,0.8,747701.025679,754.506217,565.067
9309.03,3.380286,25608.77,8717.2,0.25,63889.498539,68411.502863,8.233
22122.72,33478.464492,62057.81,0.3,121.27,134.374685,58696.782938,2559.25
8705.73,762722.645966,3.95,0.2,0.01,256.36211,26.377247,78.973
657.04,91655.297511,164.18,583042.9,423.82,5.030418,0.926437,910.555
10765.12,56884.738561,22657.59,702162.3,973.98,36688.623244,992914.607417,908167.448
47.79,0.907225,71819.9,5851.3,0.49,5798.357793,560408.081204,66712.328
4.28,68316.76931,36866.93,443313.0,52036.92,12.189071,2077.742637,0.485
25.74,39994.890504,78737.78,2439.3,98911.2,213.179679,595772.568315,0.89
0.05,33.928634,526550.78,809.3,5772.79,30.659392,9.668714,9.044
0.42,0.461928,13254.36,69.3,0.4,905.030355,0.020944,56124.64
85760.07,60.110453,387447.6,74.2,6753.83,43.252332,5.577811,618482.701
92983.41,75.139975,313.14,312641.6,77.85,0.419775,76351.300891,2407.728
5208.44,0.590915,6.15,481758.5,850.55,9564.054895,773880.623743,7335.64
4.24,918.716417,1.92,722512.5,0.54,58960.9426,7.725883,80109.775
0.37,610.333248,25932.13,4210.1,81138.59,83.911724,771.670588,0.01
7844.58,605.535044,0.61,11141.4,34479.0,75.907822,5385.992569,975.166
0.0,341772.122939,842908.38,24.3,172828.98,16875.359923,4.103745,0.788
744804.45,56196.097927,244.38,0.9,1.6,25.731359,2693.94979,666153.538
448799.8,665.549608,90.03,54079.4,799.39,123903.197876,2665.888016,3269.304
8934.25,144143.723147,79.83,685469.9,69.07,5730.008992,8390.823347,48.131
702.97,57.28357,2.78,606.8,0.82,9.361945,7.173745,66372.205
45989.15,244171.595635,671.8,224.7,0.44,90.565969,24819.759588,22.393
196025.8,69.297202,409.57,5564.8,4.58,0.19038,386.144233,48.403
0.47,1.074342,85.41,870.3,0.05,390592.572953,0.1279,974253.239
666978.8,87.524054,0.75,87560.4,0.15,15320.522416,8240.682623,517757.41
2.7,3.453487,173.42,0.3,528732.92,630.634318,1.897332,25535.345
26116.94,7366.989618,5.41,27.6,8.05,99.161801,0.915047,19943.691
1.2,49804.239628,0.96,51334.9,946.48,5.179758,214.942392,611897.214
191.05,903630.699221,3742.65,4433.2,98656.35,916.788409,484.453602,7988.121
0.12,5.911923,44.14,314.0,760479.46,2.40388,289230.941358,76474.336
32763.31,61190.795716,4.01,194.4,65863.52,49.745233,0.907109,1.818
0.42,308.570787,2.0,8.2,6292.85,15.413918,54144.034902,983.831
0.25,0.713158,953.83,472.1,31826.71,701004.405809,94.39071,76.626
514169.42,4.428505,16.31,4.5,65.53,346.415236,6369.748484,7.184
21.87,112393.780562,59.25,40.0,484.88,2.188376,55.406655,9.571
90094.95,71613.673459,7.6,4.5,3385.15,0.296228,276.718014,623.104
995.0,0.207949,870.21,785947.9,669.76,965552.059464,2.44603,71560.642
6108.4,823227.668075,7.15,268617.5,0.06,5647.296918,80.624081,0.16
57.95,29038.228652,120.08,55.7,6.89,8.466392,139767.181162,91.569
265.08,18915.344223,3344.44,5.5,594.76,169.089073,973512.910078,578.663
9580.15,6.060692,81.78,545.7,0.71,100344.770758,4.290918,337.428
593.28,11320.794489,2623.44,1101.4,0.92,0.983057,7120.032895,22.197
0.52,36836.709994,22226.93,97.1,2.57,6.959897,37284.778315,0.791
81510.42,5.729743,0.33,863609.4,26169.69,656533.825283,88627.018744,4.752
0.12,861.522402,5.79,93241.9,1.99,1420.458829,702539.42552,0.237
8628.02,14.941939,532.44,299927.3,93341.54,532.474688,9720.716475,0.713
41232.44,20.747772,892135.3,65.6,80.37,421444.228191,111773.632487,151.736
14527.06,2.881743,530.29,5930.0,0.76,5.954502,6.65447,187.226
5497.67,18.742639,687180.72,119.7,69.8,7212.217051,2740.116718,3169.177
3.84,665566.041357,11573.9,381.9,37626.22,195293.18134,0.981904,6087.834
7.68,0.174431,651.42,850.4,600168.52,4.125734,0.904327,1.805
146791.36,119519.936454,898.87,558181.1,6917.72,27490.305944,95787.311186,37206.89
1430.82,435.616172,68.4,0.7,7.34,0.740005,0.794239,6.545
741.43,4.714485,1.5,930885.7,70560.03,5.993087,0.995373,38062.335
94.48,74.153357,953537.9,96120.2,84.35,94.072014,3615.195172,95800.226
27102.16,802.876368,0.38,1.0,6.04,0.521041,58.923521,54581.254
0.75,38702.410711,76.66,698077.1,66466.14,7047.408988,918.318939,89304.058
751885.57,458.398252,92416.87,280.8,26775.78,647.270038,60.386183,51.658
0.51,9153.181145,0.28,213.9,273.69,4.320143,29876.32461,8.591
336.61,63828.896084,94.39,7.2,0.08,9.873679,3540.532757,20.573
582.54,218063.987598,824006.31,0.2,70.35,8.198422,1.344931,8.073
0.12,2748.266865,0.23,9.2,840.31,72176.815525,401338.939405,3362.77
8.78,55.814058,0.91,490.2,97129.55,8.019981,0.046646,668.265
70.47,451.154311,524449.37,22.2,26.62,87.563407,28.717548,114.334
73.96,0.335011,170676.48,51414.6,4.75,826896.832828,37.373303,138.029
40985.31,76.923191,54.74,382.0,2585.51,857.483767,57.505394,0.958
4.46,0.59599,0.65,58593.8,0.39,0.582644,38.873029,0.561
72.51,5763.947995,16.5,0.1,9638.78,9.427489,5.346118,8257.089
98383.63,313656.707015,35498.68,3.5,369.52,5.462514,65.627576,0.465
6.99,2137.095222,6.66,748810.5,6836.32,94.884861,7338.277822,3722.15
0.33,160.390007,40818.0,17.4,937.62,5421.418146,937123.80205,0.522
13002.19,2979.938753,18.03,4.9,53.16,0.923294,695135.278479,292877.245
489.29,217844.23134,6.59,54604.6,4638.49,10.351614,50158.718227,397.386
4.31,677519.539627,12125.86,3983.4,19.48,0.154312,31787.012475,18.51
55696.41,35.326872,98242.04,82.6,3105.11,730315.34249,244.215862,93665.311
309.08,40010.721127,4675.63,401.9,7.3,83290.819938,744677.020636,9.865
1.31,9.97414,1.87,15915.4,6.04,54.633489,81.891492,9119.402
91376.63,710599.73527,0.57,8.5,5.01,11.717832,474.719443,10600.27
60.15,2.331585,9.64,85.0,86.76,27553.303519,0.148464,7.585
0.6,3.497617,0.79,4.1,858637.73,1.356386,830621.059637,56.873
7.73,5.371231,545429.01,0.1,3748.64,3.123108,2883.969385,78.711
355.06,0.917711,45212.57,435266.6,65.26,92481.604127,0.322786,93.429
35262.58,21.39998,939.31,27.4,37143.64,891129.946942,395.771736,273.86
72636.7,96.266097,814195.49,835.3,5613.92,70857.425407,87.203786,2159.206
748662.72,351840.315642,0.33,76210.6,4.56,34.095163,850.161321,76926.966
0.01,0.681679,1930.7,2463.0,0.63,9.811623,26.246739,9.509
61022.66,3.520507,33.6,0.9,245.98,94098.140017,72221.520748,0.14
243.01,59897.652825,78.98,8668.3,0.46,149.560853,73684.293572,89.883
59223.19,5743.806661,0.76,0.4,313786.88,0.390222,194472.013587,0.716
0.19,8.038253,451.53,1964.6,29.25,55690.43675,99.921043,406770.533
5633.46,2.326574,25.72,757910.6,95178.14,2624.958227,272436.245421,9885.555
424956.76,580909.909265,26114.93,3.2,0.73,8.4674,711.439564,2463.874
6.17,711.507048,5.06,4341.7,0.89,7780.382128,53.535444,6.808
