column_1,column_2,column_3,column_4,column_5,column_6
85.5253,-0.5,-37449.74706,24126.7272,-7934.66669,8.99141
9580.04644,-12.7,-706.56242,-45832.2302,2117.75097,-388688.98248
0.33258,-31683.0,-0.9289,0.2812,1.89075,5.2048
203475.82354,9276.9,8937.17976,-6.1562,876.30086,991.01304
-628726.38613,0.3,6.14265,-7986.7264,-5432.11648,-505793.3794
-257131.97932,-97.0,751.03491,-322903.943,-0.01907,0.99603
56.87221,-39.4,28112.59399,133.514,-0.62711,203.73076
4845.65322,0.1,-634268.34369,-2294.5494,0.26497,5.0119
-670.53463,-8.7,3372.17555,-26182.6216,420925.78185,-21.03398
-0.30769,-949.0,9.72157,-970.6177,-0.17064,-37.63806
0.39081,416733.8,-4.35596,6.6954,-845326.38136,8.59359
-85.22184,55324.4,262.58207,-264.4456,5.47311,37.16028
-1.78486,-287.8,47708.07872,0.4747,66466.1943,-798.35242
-53.30067,643464.8,70066.09513,623.7041,86.68307,-4.56186
-8.66482,-782205.1,-52325.00029,0.0348,-3555.14999,7.87193
-2481.96883,58823.3,143643.33024,99283.6461,-49.26846,-8.83288
-75272.80793,-164562.3,-85063.85055,815514.0698,-377.18186,912.5983
-41.97778,867369.7,-78102.77209,0.0472,-1807.12409,31.06426
7.9772,2151.4,-43413.62974,167.7406,4.35388,-90.85664
-210153.84858,6.1,0.25179,80374.3166,29.73215,86.52852
-86.81565,662.6,-747.35397,0.1715,-49959.31178,204.17615
