column_1,column_2,column_3,column_4,column_5,column_6,column_7
10670.323583,-0.6514,9.113,-205290.3274,-1.0,-3907.040376,-97.0
15.910348,2.7312,5.143,322264.5687,-579268.0,0.640773,-183.0
0.116508,7.759,0.117,-0.7598,-92073.0,0.123105,1.0
754398.062998,-45644.7926,0.154,19.7826,-65.0,0.199119,-52.0
0.748752,69.9629,457.511,69480.5821,-1.0,-90.868354,-104.0
473.805735,95.1928,6274.952,991.0738,-677.0,-3.36641,-1.0
191391.085287,3036.8934,-6.143,28005.8524,-6164.0,-86041.684764,1.0
-3771.281976,98628.9618,-46943.197,-0.3112,-69971.0,-13.550408,-94898.0
-0.197413,6.9404,-4848.136,0.5683,86189.0,-138.176146,-599870.0
-4729.134105,-786.7844,-81323.382,420.2665,1080.0,-966704.93821,7.0
-6.018346,-170.3899,-21592.238,928.0098,-899225.0,62379.578373,1.0
-117.07418,0.5712,-52.14,-36485.9123,-0.0,-5616.950122,1.0
3.631746,-709.5567,-1.481,-59573.4538,-87255.0,199.810046,-155.0
2.86867,-0.1628,0.252,9.2765,844570.0,-8153.877256,-6199.0
-0.162401,2225.8912,20.842,3.7034,775.0,98535.76702,-882.0
365898.089771,727.2098,-95417.458,51.1768,92.0,-0.967327,-0.0
-52.033527,124253.0165,-457.689,0.0753,-6969.0,-1.700059,2.0
-75648.796632,2861.5312,-0.032,-13.0967,10.0,-0.209923,64.0
341.311297,-43452.7665,5.675,-729.8218,-153.0,71.79452,91990.0
0.043473,50707.0798,786298.341,22339.4471,-3242.0,-0.015416,4039.0
7504.990731,50.5246,-0.794,-66420.6897,-645.0,-557160.103397,33402.0
0.309701,-45953.4268,0.026,-8496.5253,0.0,59797.870608,8.0
438544.963447,59111.9016,-90.631,85.892,-342.0,-41.448634,-7.0
-6303.860963,1795.5158,0.797,53.5996,-9142.0,0.610754,-14.0
860.84069,425.1383,-7.259,60602.7677,-2.0,-19749.221044,-26300.0
-7027.301423,0.5381,-8.03,96.5155,-1.0,-91744.78445,-39.0
1971.448793,-69.6434,-331414.275,-0.53,-6085.0,-17.87842,54.0
-9.389127,1.6791,345.407,-14.6546,48.0,41401.04297,-0.0
606210.615361,-215909.1164,8470.523,-6.9127,-817.0,868.73287,-12.0
4947.847521,41985.4941,-593.767,723457.2105,6.0,0.643027,-8.0
8696.225248,-136.7237,260.631,8.8652,-3.0,-625573.521895,-8.0
55669.917963,-4.0114,66923.085,-586212.6964,77.0,68.562041,22.0
-53.943034,-5269.6289,1.981,-4430.967,5.0,-70600.902597,-0.0
468.430375,-74.2691,-299810.652,-35.4336,-0.0,8193.097675,8.0
-17.767045,-665935.9268,338521.636,7993.5312,10921.0,4632.961018,0.0
-47.473353,387.7782,10.782,-85478.6989,-6.0,-90020.667217,301360.0
-939.4742,4860.8716,-1.469,6.8224,-0.0,95367.782987,972.0
-6.735872,16.4962,60474.254,83.4677,82.0,689.142109,-28.0
-64.885071,-191.9756,893.172,-562.1516,701.0,-2291.299645,352.0
-36029.431384,-36.6764,3.013,0.5295,2898.0,0.321335,-18556.0
-9213.282997,343.1416,50461.945,-24.0545,5.0,15370.386222,1686.0
-2.911004,-184.1098,931.262,361778.691,5.0,-0.475959,1.0
-36.138276,-4365.3675,72019.384,8295.6002,-586.0,0.899976,6.0
80.800042,-47289.7576,9.505,-5.2042,-38.0,-504.788522,-2729.0
-0.823189,-0.7099,132180.834,-6.1122,-147.0,-9357.236553,-92091.0
-416.747851,-80.0341,-62625.546,-0.5438,183.0,-8510.475012,-4335.0
0.526024,-293.7152,5.701,69967.8474,-8368.0,7.581307,88913.0
-522.394278,-689.118,-6.795,18.168,833675.0,-36.848307,-5.0
178007.61764,-4.5293,-0.449,0.5945,-6.0,-329.35264,-2666.0
2796.731902,8676.3794,883948.185,144092.1316,-20.0,542906.041148,-1.0
-0.20715,300.2008,-0.511,5.0184,4378.0,-13.222831,780409.0
9356.774272,0.3291,-5.778,454.0697,-75407.0,-4527.922454,87.0
-762.807227,-308.7879,74.002,985043.4988,-47.0,-87.076127,-0.0
31752.744084,0.3578,-646002.274,-900951.5581,368.0,-165953.446622,343.0
-926.916924,-369.3185,-9099.778,-8.1122,5947.0,-0.746777,-802971.0
-772.07136,-8.7056,-13.262,0.4303,396193.0,-0.337028,7221.0
403.059576,0.8785,-57.238,-5376.027,-79613.0,-79.514653,9.0
0.043232,-17.2054,-0.47,2923.9066,-5336.0,0.243168,99204.0
2.136955,-5.3402,3.129,-82.5905,676036.0,-72886.11399,3.0
202.823951,6235.801,-99534.678,-93.6891,-0.0,85.719925,2.0
61247.545998,-1806.5582,-26739.089,21.1606,18.0,0.008689,-189096.0
-3.789883,-3346.6683,-3.046,-22746.6233,-5.0,-2735.450737,-1.0
662.13574,-8.2259,0.223,31.5397,658.0,24.688223,-1.0
6.901368,41.2275,-0.226,546830.7718,0.0,-8404.777839,-727340.0
-18085.563277,946538.7706,778.456,630.9775,-39464.0,361.121863,-78605.0
-0.229591,12.4113,-49.731,6.5719,-15.0,-62119.52227,1.0
0.610675,740.899,18925.964,93.6982,-1.0,-4.626952,-88404.0
-14507.984217,-0.462,-23.606,443769.0849,-569.0,4.615978,-623.0
829.339845,-403640.8757,-16.862,2.3219,-921251.0,875.873239,-0.0
215.819066,0.7682,-0.598,-1.3739,1.0,429539.654504,862.0
1060.025756,-902091.7431,69.335,-6423.2155,-0.0,755.693313,-6004.0
-438746.561104,5589.5288,-1509.846,-2511.2309,0.0,258015.82884,-2514.0
-0.318812,-53948.4984,-88894.032,-883.6588,766.0,54.11023,-4812.0
268665.472171,6107.1278,-7.767,-8.1701,0.0,-1521.53989,767.0
-80248.801672,0.3658,-9.034,147.523,-1.0,292774.007946,46.0
-3285.768104,796942.3523,4.382,-4.1775,-1.0,15925.762281,2000.0
-8.261365,-594231.6571,924.493,55759.9064,0.0,-22171.709098,45955.0
213807.225623,61.1349,-143968.717,24.0446,-0.0,70.690631,-14.0
90364.076087,-437.3444,682.474,7187.6866,-5.0,-87.953974,1690.0
-2722.926289,-47452.8443,54.756,361.1057,-79.0,937101.123639,-274.0
140.238665,-8.8171,7131.343,-596289.3781,-88481.0,-73338.458559,-1601.0
-0.478069,777634.7678,41.059,922.207,35.0,7.978734,93.0
0.236529,-940.3027,38.012,20.9454,-1.0,-37.261317,-0.0
-15820.622577,38049.06,324.745,-7605.2474,1.0,-6527.781982,8.0
6520.987658,-8375.2875,-7.058,-25.5215,-6596.0,136.580346,-0.0
-66.585097,-3.5987,2.293,-172.2507,-0.0,-41801.064962,9.0
94.001361,-1.5848,-986921.875,-8924.8412,0.0,0.842178,-38.0
-74.45244,80588.5523,-47.125,-695838.4053,-0.0,-596407.13983,27597.0
-9511.088948,48713.7122,-388558.14,0.0886,928818.0,-0.005252,-50.0
-21.76495,-7.472,5283.496,4.1605,9.0,2842.514326,1.0
0.624416,-709.2925,6111.651,-88.3696,931.0,476.939264,7226.0
-911.825422,-131822.5189,-57105.071,-0.2018,-0.0,5.592586,-782.0
0.98961,219.7277,1.283,-95.3073,843.0,50.75714,4086.0
-4.240595,-16146.0527,-4.063,0.8224,-37479.0,-14.813768,-1.0
-109470.549745,145.6546,44323.144,-0.0896,-8588.0,82.640129,-1.0
8.496992,-76018.6497,7255.126,41.2993,-3655.0,-16.192678,-279433.0
814079.431649,7.6088,52510.684,-0.6577,-94.0,-1.237438,47513.0
0.980793,-10.7645,-228.79,37.5131,1890.0,192.485034,-878.0
8.942692,98922.5759,-440072.936,-32.2307,-0.0,-7949.776723,444.0
80698.205666,-37963.9374,-231.808,-383845.6388,824566.0,-0.779196,-85076.0
